cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
"6,67%","7,01%","1,50","1,18","0,52","4,69","10,05","7,93","0,48","1,96","0,33","30,26%","19,90%","25,21%","6,55","R$ 6,20","5,00","R$ 5,80","12,23%","-1,81","5,42","11,28","8,91","0,72","1,08","0,35","18,35","0,28","2,24","3,91","5,87%","21,30%","12,17%","R$ 0,2800",EQPA7,PN,"5,97","4,74%","-3,71%","2,93%","1,53"
"-38,45%","12,83%","7,48",-,"0,25",-,"47,57",-,"0,52","1,31","-0,69","43,48%","3,79%",-%,"10,40","R$ 10,40","9,80","R$ 10,30","-10,14%","-1,43","7,57","40,09",-,"0,40","0,79","0,06","-14,97","0,60","1,52","1,32","-5,29%","-8,83%","-0,10%","R$ 0,0000",GBIO33,BDR,"10,40","5,58%","0,19%","0,97%","7,86"
-%,"44,77%","-2,68",-,"-14,13",-,"-2,46",-,"0,85","15,08","223,90","77,73%","30,07%",-%,-,"R$ 2,71",-,"R$ 2,62","26,29%","-0,02","0,00","0,01",-,"0,95","0,00","0,00","0,01","0,05","0,00","0,06","22,31%","460,80%","451,11%","R$ 0,0000",CORR3,ON,"2,71",-%,"0,00%",-%,"48,59"
"40,09%","-6,86%","-0,08","-0,07","-0,07",-,"4,77","4,33","0,92","2,20","3,07","33,27%","27,60%","30,42%","19,45","R$ 19,14","2,28","R$ 17,26","23,23%","-3,53","3,46","4,85","4,40","0,71","1,23","0,00","5,76","0,29","1,34","4,26","21,30%","73,83%","54,62%","R$ 0,0000",ETER3,ON,"17,71","622,86%","-3,44%","-4,01%","4,16"
-%,-%,"0,01",-,-,-,"-0,87",-,"0,00","0,13","3,51",-%,-%,-%,-,"R$ 2,16",-,"R$ 1,14",-%,-,"-0,03","-0,88",-,"7,68","0,20","0,00","0,33","-6,67",-,"-0,03","61,31%","-9,19%","3,45%","R$ 0,0000",CCXC3,ON,"1,16",-%,"0,00%",-%,"-38,15"
-%,-%,"-39,55",-,"597,55",-,"-54,28",-,"0,00","0,29","0,08",-%,-%,-%,"3,40","R$ 2,48","1,34","R$ 2,17",-%,"-0,08","-0,16","-18,16",-,"1,00","0,07","-0,27","30,47","0,00",-,"274,27","0,21%","900,00%","-2,52%","R$ 0,0000",TCNO3,ON,"2,32","49,68%","1,31%","6,91%","0,01"
"42,24%","13,16%","0,64",-,"0,14","5,08","6,56",-,"0,16","1,72","0,93","69,23%","69,73%",-%,"10,41","R$ 7,01","3,44","R$ 6,79","54,99%","-0,89","6,18","5,92",-,"0,47","0,66","0,08","7,50","0,53","4,13","1,26","8,84%","16,82%","13,05%","R$ 0,3563",JHSF3,ON,"7,01","87,94%","1,15%","2,64%","5,55"
"19,07%","9,42%","1,80","1,03","0,49","2,68","19,83","11,34","0,54","1,69","0,81","27,25%","16,11%","28,18%","28,90","R$ 27,21","19,08","R$ 25,69","8,65%","-2,37","11,20","18,03","10,31","0,68","1,56","-1,90","33,59","0,32","2,90","4,93","4,65%","14,68%","10,81%","R$ 0,7291",FLRY3,ON,"27,20","13,76%","0,33%","5,88%","5,52"
"68,84%","9,47%","2,17","1,53","0,28","0,83","9,20","6,48","0,66","1,22","1,56","31,45%","10,81%","15,34%","31,75","R$ 26,25","12,20","R$ 21,56","8,02%","-1,24","13,43","11,49","8,10","0,46","0,82","0,13","15,49","0,54","1,24","1,51","5,27%","9,73%","4,85%","R$ 0,2010",EUCA3,ON,"24,12","66,23%","-2,07%","6,44%","15,99"
-%,"0,11%","1,90","1,31","0,32","1,29","12,07","8,32","0,69","2,04","1,38","13,54%","11,86%","17,21%","32,62","R$ 32,62","10,74","R$ 29,38","5,40%","-1,41","4,69","10,77","7,42","0,51","0,89","0,24","23,65","0,49","1,28","1,80","3,75%","7,61%","8,41%","R$ 0,4200",GGBR4,PN,"32,53","178,75%","-0,28%","10,72%","18,08"
